record_id,student_id,subject,academic_year,term,percentage,grade,effort,teacher_id,predicted_grade
1,S007,Mathematics,2024-25,Autumn,68,C,3,T01,B
2,S007,Mathematics,2024-25,Spring,73,B,4,T02,B
3,S007,Mathematics,2024-25,Summer,80,A,1,T01,A
4,S007,English Language,2024-25,Autumn,63,C,5,T04,B
5,S007,English Language,2024-25,Spring,75,B,3,T04,A
6,S007,English Language,2024-25,Summer,58,D,5,T04,C
7,S007,Biology,2024-25,Autumn,73,B,5,T05,C
8,S007,Biology,2024-25,Spring,64,C,3,T05,B
9,S007,Biology,2024-25,Summer,69,C,3,T05,C
10,S007,Chemistry,2024-25,Autumn,64,C,3,T06,C
11,S007,Chemistry,2024-25,Spring,58,D,4,T06,C
12,S007,Chemistry,2024-25,Summer,77,B,4,T06,B
13,S007,Physics,2024-25,Autumn,56,D,3,T07,C
14,S007,Physics,2024-25,Spring,62,C,5,T07,C
15,S007,Physics,2024-25,Summer,79,B,4,T07,A
16,S007,History,2024-25,Autumn,76,B,3,T08,A
17,S007,History,2024-25,Spring,65,C,5,T08,C
18,S007,History,2024-25,Summer,71,B,4,T08,B
19,S007,Geography,2024-25,Autumn,,,,T09,B
20,S007,Geography,2024-25,Spring,67,C,4,T09,B
21,S007,Geography,2024-25,Summer,63,C,3,T09,B
22,S007,French,2024-25,Autumn,65,C,4,T10,C
23,S007,French,2024-25,Spring,70,B,5,T10,B
24,S007,French,2024-25,Summer,81,A,4,T10,B
25,S007,Computing,2024-25,Autumn,65,C,3,T11,C
26,S007,Computing,2024-25,Spring,76,B,2,T11,A
27,S007,Computing,2024-25,Summer,50,D,2,T11,D
28,S007,Art & Design,2024-25,Autumn,68,C,4,T12,B
29,S007,Art & Design,2024-25,Spring,64,C,4,T12,B
30,S007,Art & Design,2024-25,Summer,,,,T12,B
31,S008,Mathematics,2024-25,Autumn,60,C,1,T01,C
32,S008,Mathematics,2024-25,Spring,84,A,2,T01,A
33,S008,Mathematics,2024-25,Summer,61,C,4,T02,C
34,S008,English Language,2024-25,Autumn,62,C,2,T04,C
35,S008,English Language,2024-25,Spring,57,D,2,T03,C
36,S008,English Language,2024-25,Summer,68,C,2,T03,C
37,S008,Biology,2024-25,Autumn,63,C,3,T05,C
38,S008,Biology,2024-25,Spring,83,A,5,T05,A*
39,S008,Biology,2024-25,Summer,86,A,5,T05,A
40,S008,Chemistry,2024-25,Autumn,65,C,3,T06,C
41,S008,Chemistry,2024-25,Spring,78,B,5,T06,A
42,S008,Chemistry,2024-25,Summer,66,C,4,T06,C
43,S008,Physics,2024-25,Autumn,64,C,4,T07,A
44,S008,Physics,2024-25,Spring,80,A,4,T07,A
45,S008,Physics,2024-25,Summer,55,D,2,T07,D
46,S008,History,2024-25,Autumn,71,B,5,T08,B
47,S008,History,2024-25,Spring,74,B,4,T08,B
48,S008,History,2024-25,Summer,74,B,3,T08,A
49,S008,Geography,2024-25,Autumn,,,,T09,C
50,S008,Geography,2024-25,Spring,63,C,2,T09,C
51,S008,Geography,2024-25,Summer,75,B,2,T09,A
52,S008,French,2024-25,Autumn,79,B,4,T10,A*
53,S008,French,2024-25,Spring,53,D,2,T10,D
54,S008,French,2024-25,Summer,81,A,3,T10,B
55,S008,Computing,2024-25,Autumn,69,C,4,T11,C
56,S008,Computing,2024-25,Spring,70,B,2,T11,A
57,S008,Computing,2024-25,Summer,77,B,2,T11,A
58,S008,Art & Design,2024-25,Autumn,59,D,4,T12,C
59,S008,Art & Design,2024-25,Spring,83,A,4,T12,B
60,S008,Art & Design,2024-25,Summer,73,B,3,T12,B
61,S009,Mathematics,2024-25,Autumn,74,B,2,T02,A
62,S009,Mathematics,2024-25,Spring,66,C,3,T01,B
63,S009,Mathematics,2024-25,Summer,66,C,1,T02,B
64,S009,English Language,2024-25,Autumn,60,C,4,T03,C
65,S009,English Language,2024-25,Spring,82,A,5,T04,A
66,S009,English Language,2024-25,Summer,82,A,3,T03,A
67,S009,Biology,2024-25,Autumn,79,B,3,T05,A
68,S009,Biology,2024-25,Spring,66,C,3,T05,B
69,S009,Biology,2024-25,Summer,66,C,3,T05,B
70,S009,Chemistry,2024-25,Autumn,70,B,4,T06,C
71,S009,Chemistry,2024-25,Spring,62,C,4,T06,B
72,S009,Chemistry,2024-25,Summer,70,B,5,T06,B
73,S009,Physics,2024-25,Autumn,70,B,3,T07,B
74,S009,Physics,2024-25,Spring,64,C,4,T07,C
75,S009,Physics,2024-25,Summer,79,B,3,T07,B
76,S009,History,2024-25,Autumn,52,D,3,T08,D
77,S009,History,2024-25,Spring,73,B,4,T08,B
78,S009,History,2024-25,Summer,70,B,4,T08,B
79,S009,Geography,2024-25,Autumn,62,C,4,T09,C
80,S009,Geography,2024-25,Spring,56,D,3,T09,C
81,S009,Geography,2024-25,Summer,70,B,4,T09,C
82,S009,French,2024-25,Autumn,72,B,4,T10,B
83,S009,French,2024-25,Spring,68,C,1,T10,B
84,S009,French,2024-25,Summer,62,C,4,T10,C
85,S009,Computing,2024-25,Autumn,70,B,4,T11,C
86,S009,Computing,2024-25,Spring,47,E,5,T11,E
87,S009,Computing,2024-25,Summer,60,C,5,T11,B
88,S009,Art & Design,2024-25,Autumn,60,C,3,T12,C
89,S009,Art & Design,2024-25,Spring,62,C,4,T12,C
90,S009,Art & Design,2024-25,Summer,71,B,3,T12,B
91,S010,Mathematics,2024-25,Autumn,58,D,3,T02,C
92,S010,Mathematics,2024-25,Spring,53,D,3,T02,D
93,S010,Mathematics,2024-25,Summer,64,C,1,T02,D
94,S010,English Language,2024-25,Autumn,67,C,3,T04,C
95,S010,English Language,2024-25,Spring,60,C,5,T04,D
96,S010,English Language,2024-25,Summer,59,D,3,T04,C
97,S010,Biology,2024-25,Autumn,71,B,5,T05,C
98,S010,Biology,2024-25,Spring,51,D,2,T05,D
99,S010,Biology,2024-25,Summer,59,D,3,T05,C
100,S010,Chemistry,2024-25,Autumn,53,D,3,T06,C
101,S010,Chemistry,2024-25,Spring,63,C,4,T06,C
102,S010,Chemistry,2024-25,Summer,79,B,1,T06,A
103,S010,Physics,2024-25,Autumn,62,C,3,T07,C
104,S010,Physics,2024-25,Spring,76,B,4,T07,A
105,S010,Physics,2024-25,Summer,67,C,4,T07,B
106,S010,History,2024-25,Autumn,65,C,4,T08,B
107,S010,History,2024-25,Spring,68,C,5,T08,C
108,S010,History,2024-25,Summer,57,D,2,T08,D
109,S010,Geography,2024-25,Autumn,58,D,5,T09,C
110,S010,Geography,2024-25,Spring,,,,T09,D
111,S010,Geography,2024-25,Summer,53,D,3,T09,D
112,S010,French,2024-25,Autumn,67,C,3,T10,C
113,S010,French,2024-25,Spring,73,B,4,T10,B
114,S010,French,2024-25,Summer,62,C,3,T10,B
115,S010,Computing,2024-25,Autumn,50,D,3,T11,D
116,S010,Computing,2024-25,Spring,57,D,3,T11,C
117,S010,Computing,2024-25,Summer,70,B,3,T11,C
118,S010,Art & Design,2024-25,Autumn,63,C,3,T12,C
119,S010,Art & Design,2024-25,Spring,56,D,4,T12,D
120,S010,Art & Design,2024-25,Summer,56,D,4,T12,C
121,S011,Mathematics,2024-25,Autumn,48,E,4,T02,E
122,S011,Mathematics,2024-25,Spring,57,D,3,T01,D
123,S011,Mathematics,2024-25,Summer,62,C,4,T01,C
124,S011,English Language,2024-25,Autumn,59,D,5,T04,B
125,S011,English Language,2024-25,Spring,48,E,3,T04,D
126,S011,English Language,2024-25,Summer,50,D,5,T04,D
127,S011,Biology,2024-25,Autumn,46,E,4,T05,E
128,S011,Biology,2024-25,Spring,45,E,3,T05,E
129,S011,Biology,2024-25,Summer,65,C,2,T05,B
130,S011,Chemistry,2024-25,Autumn,55,D,2,T06,C
131,S011,Chemistry,2024-25,Spring,53,D,3,T06,D
132,S011,Chemistry,2024-25,Summer,42,E,3,T06,E
133,S011,Physics,2024-25,Autumn,60,C,4,T07,C
134,S011,Physics,2024-25,Spring,45,E,3,T07,D
135,S011,Physics,2024-25,Summer,56,D,4,T07,C
136,S011,History,2024-25,Autumn,62,C,4,T08,B
137,S011,History,2024-25,Spring,43,E,4,T08,E
138,S011,History,2024-25,Summer,54,D,5,T08,C
139,S011,Geography,2024-25,Autumn,52,D,4,T09,D
140,S011,Geography,2024-25,Spring,53,D,3,T09,D
141,S011,Geography,2024-25,Summer,,,,T09,D
142,S011,French,2024-25,Autumn,39,U,3,T10,E
143,S011,French,2024-25,Spring,49,E,1,T10,E
144,S011,French,2024-25,Summer,52,D,3,T10,D
145,S011,Computing,2024-25,Autumn,43,E,3,T11,E
146,S011,Computing,2024-25,Spring,53,D,3,T11,D
147,S011,Computing,2024-25,Summer,68,C,4,T11,B
148,S011,Art & Design,2024-25,Autumn,53,D,4,T12,D
149,S011,Art & Design,2024-25,Spring,41,E,3,T12,E
150,S011,Art & Design,2024-25,Summer,43,E,2,T12,U
151,S012,Mathematics,2024-25,Autumn,53,D,5,T01,D
152,S012,Mathematics,2024-25,Spring,54,D,3,T01,D
153,S012,Mathematics,2024-25,Summer,62,C,2,T01,C
154,S012,English Language,2024-25,Autumn,53,D,3,T04,D
155,S012,English Language,2024-25,Spring,55,D,3,T03,C
156,S012,English Language,2024-25,Summer,52,D,3,T04,C
157,S012,Biology,2024-25,Autumn,53,D,4,T05,C
158,S012,Biology,2024-25,Spring,46,E,3,T05,D
159,S012,Biology,2024-25,Summer,52,D,4,T05,D
160,S012,Chemistry,2024-25,Autumn,55,D,4,T06,D
161,S012,Chemistry,2024-25,Spring,47,E,5,T06,E
162,S012,Chemistry,2024-25,Summer,69,C,3,T06,A
163,S012,Physics,2024-25,Autumn,45,E,4,T07,D
164,S012,Physics,2024-25,Spring,52,D,4,T07,D
165,S012,Physics,2024-25,Summer,50,D,5,T07,E
166,S012,History,2024-25,Autumn,43,E,4,T08,U
167,S012,History,2024-25,Spring,56,D,3,T08,C
168,S012,History,2024-25,Summer,51,D,4,T08,D
169,S012,Geography,2024-25,Autumn,49,E,1,T09,E
170,S012,Geography,2024-25,Spring,51,D,4,T09,D
171,S012,Geography,2024-25,Summer,69,C,4,T09,B
172,S012,French,2024-25,Autumn,49,E,4,T10,D
173,S012,French,2024-25,Spring,69,C,5,T10,B
174,S012,French,2024-25,Summer,77,B,3,T10,B
175,S012,Computing,2024-25,Autumn,48,E,5,T11,D
176,S012,Computing,2024-25,Spring,,,,T11,D
177,S012,Computing,2024-25,Summer,58,D,1,T11,D
178,S012,Art & Design,2024-25,Autumn,54,D,5,T12,E
179,S012,Art & Design,2024-25,Spring,48,E,4,T12,D
180,S012,Art & Design,2024-25,Summer,,,,T12,C
181,S013,Mathematics,2023-24,Autumn,63,C,5,T02,C
182,S013,Mathematics,2023-24,Spring,55,D,4,T02,E
183,S013,Mathematics,2023-24,Summer,56,D,3,T02,C
184,S013,English Language,2023-24,Autumn,58,D,5,T04,C
185,S013,English Language,2023-24,Spring,59,D,5,T04,B
186,S013,English Language,2023-24,Summer,57,D,4,T03,C
187,S013,Biology,2023-24,Autumn,64,C,4,T05,D
188,S013,Biology,2023-24,Spring,52,D,2,T05,E
189,S013,Biology,2023-24,Summer,62,C,3,T05,C
190,S013,Chemistry,2023-24,Autumn,,,,T06,D
191,S013,Chemistry,2023-24,Spring,61,C,5,T06,B
192,S013,Chemistry,2023-24,Summer,69,C,4,T06,C
193,S013,Physics,2023-24,Autumn,53,D,4,T07,E
194,S013,Physics,2023-24,Spring,47,E,4,T07,U
195,S013,Physics,2023-24,Summer,67,C,2,T07,D
196,S013,History,2023-24,Autumn,54,D,3,T08,C
197,S013,History,2023-24,Spring,,,,T08,D
198,S013,History,2023-24,Summer,51,D,4,T08,C
199,S013,Geography,2023-24,Autumn,59,D,5,T09,D
200,S013,Geography,2023-24,Spring,52,D,4,T09,D
201,S013,Geography,2023-24,Summer,82,A,4,T09,A*
