school/region,year_group_band,academic_year,pupils
AA,junior,2018,485.0
AA,senior,2018,324.0
AA,total,2018,809.0
BH,junior,2018,689.0
BH,senior,2018,460.0
BH,total,2018,1149.0
CC,junior,2018,435.0
CC,senior,2018,291.0
CC,total,2018,726.0
DS,junior,2018,593.0
DS,senior,2018,396.0
DS,total,2018,989.0
EA,junior,2018,504.0
EA,senior,2018,336.0
EA,total,2018,840.0
FH,junior,2018,607.0
FH,senior,2018,406.0
FH,total,2018,1013.0
GS,junior,2018,389.0
GS,senior,2018,260.0
GS,total,2018,649.0
HP,junior,2018,771.0
HP,senior,2018,514.0
HP,total,2018,1285.0
IC,junior,2018,478.0
IC,senior,2018,319.0
IC,total,2018,797.0
JA,junior,2018,569.0
JA,senior,2018,380.0
JA,total,2018,949.0
AA,junior,2019,468.0
AA,senior,2019,312.0
AA,total,2019,780.0
BH,junior,2019,690.0
BH,senior,2019,461.0
BH,total,2019,1151.0
CC,junior,2019,439.0
CC,senior,2019,294.0
CC,total,2019,733.0
DS,junior,2019,570.0
DS,senior,2019,381.0
DS,total,2019,951.0
EA,junior,2019,505.0
EA,senior,2019,337.0
EA,total,2019,842.0
FH,junior,2019,609.0
FH,senior,2019,407.0
FH,total,2019,1016.0
GS,junior,2019,399.0
GS,senior,2019,267.0
GS,total,2019,666.0
HP,junior,2019,745.0
HP,senior,2019,498.0
HP,total,2019,1243.0
IC,junior,2019,470.0
IC,senior,2019,314.0
IC,total,2019,784.0
JA,junior,2019,546.0
JA,senior,2019,364.0
JA,total,2019,910.0
AA,junior,2020,497.0
AA,senior,2020,332.0
AA,total,2020,829.0
BH,junior,2020,636.0
BH,senior,2020,424.0
BH,total,2020,1060.0
CC,junior,2020,417.0
CC,senior,2020,278.0
CC,total,2020,695.0
DS,junior,2020,579.0
DS,senior,2020,387.0
DS,total,2020,966.0
EA,junior,2020,519.0
EA,senior,2020,347.0
EA,total,2020,866.0
FH,junior,2020,647.0
FH,senior,2020,432.0
FH,total,2020,1079.0
GS,junior,2020,395.0
GS,senior,2020,264.0
GS,total,2020,659.0
HP,junior,2020,744.0
HP,senior,2020,497.0
HP,total,2020,1241.0
IC,junior,2020,478.0
IC,senior,2020,319.0
IC,total,2020,797.0
JA,junior,2020,532.0
JA,senior,2020,355.0
JA,total,2020,887.0
AA,junior,2021,496.0
AA,senior,2021,332.0
AA,total,2021,828.0
BH,junior,2021,637.0
BH,senior,2021,426.0
BH,total,2021,1063.0
CC,junior,2021,407.0
CC,senior,2021,272.0
CC,total,2021,679.0
DS,junior,2021,613.0
DS,senior,2021,410.0
DS,total,2021,1023.0
EA,junior,2021,546.0
EA,senior,2021,364.0
EA,total,2021,910.0
FH,junior,2021,649.0
FH,senior,2021,433.0
FH,total,2021,1082.0
GS,junior,2021,399.0
GS,senior,2021,267.0
GS,total,2021,666.0
HP,junior,2021,714.0
HP,senior,2021,476.0
HP,total,2021,1190.0
IC,junior,2021,482.0
IC,senior,2021,322.0
IC,total,2021,804.0
JA,junior,2021,554.0
JA,senior,2021,370.0
JA,total,2021,924.0
AA,junior,2022,473.0
AA,senior,2022,316.0
AA,total,2022,789.0
BH,junior,2022,659.0
BH,senior,2022,440.0
BH,total,2022,1099.0
CC,junior,2022,405.0
CC,senior,2022,271.0
CC,total,2022,676.0
DS,junior,2022,612.0
DS,senior,2022,408.0
DS,total,2022,1020.0
EA,junior,2022,509.0
EA,senior,2022,340.0
EA,total,2022,849.0
FH,junior,2022,640.0
FH,senior,2022,427.0
FH,total,2022,1067.0
GS,junior,2022,400.0
GS,senior,2022,267.0
GS,total,2022,667.0
HP,junior,2022,745.0
HP,senior,2022,497.0
HP,total,2022,1242.0
IC,junior,2022,475.0
IC,senior,2022,318.0
IC,total,2022,793.0
JA,junior,2022,540.0
JA,senior,2022,360.0
JA,total,2022,900.0
AA,junior,2023,514.0
AA,senior,2023,344.0
AA,total,2023,858.0
BH,junior,2023,678.0
BH,senior,2023,452.0
BH,total,2023,1130.0
CC,junior,2023,444.0
CC,senior,2023,297.0
CC,total,2023,741.0
DS,junior,2023,610.0
DS,senior,2023,408.0
DS,total,2023,1018.0
EA,junior,2023,526.0
EA,senior,2023,352.0
EA,total,2023,878.0
FH,junior,2023,656.0
FH,senior,2023,438.0
FH,total,2023,1094.0
GS,junior,2023,391.0
GS,senior,2023,261.0
GS,total,2023,652.0
HP,junior,2023,721.0
HP,senior,2023,481.0
HP,total,2023,1202.0
IC,junior,2023,452.0
IC,senior,2023,302.0
IC,total,2023,754.0
JA,junior,2023,547.0
JA,senior,2023,366.0
JA,total,2023,913.0
CON,junior,2018,5325.0
CON,senior,2018,3550.0
CON,total,2018,8875.0
CON,junior,2019,5416.0
CON,senior,2019,3610.0
CON,total,2019,9027.0
CON,junior,2020,5446.0
CON,senior,2020,3631.0
CON,total,2020,9078.0
CON,junior,2021,5628.0
CON,senior,2021,3752.0
CON,total,2021,9381.0
CON,junior,2022,5542.0
CON,senior,2022,3695.0
CON,total,2022,9238.0
CON,junior,2023,5290.0
CON,senior,2023,3527.0
CON,total,2023,8818.0
SP,junior,2018,
SP,senior,2018,
SP,total,2018,
SP,junior,2019,
SP,senior,2019,
SP,total,2019,
SP,junior,2020,
SP,senior,2020,
SP,total,2020,
SP,junior,2021,45.0
SP,senior,2021,30.0
SP,total,2021,75.0
SP,junior,2022,45.0
SP,senior,2022,30.0
SP,total,2022,75.0
SP,junior,2023,45.0
SP,senior,2023,30.0
SP,total,2023,75.0
