pupil_id,year_group,gender,house,pupil_premium,send_register,attendance_pct,maths_grade_y1,english_grade_y1,science_grade_y1,maths_grade_y2,english_grade_y2,science_grade_y2,effort_maths,effort_english,effort_science,predicted_grade,rewards,sanctions,cpoms_count,behaviour_flag
P0001,8,Female,Atkinson,0,0,97.2,4,4,6,3.0,5.0,6.0,3.0,3.0,3.0,5.0,13.0,5,1.0,0
P0002,11,Female,Darwin,1,0,,6,8,4,6.0,9.0,3.0,3.0,3.0,2.0,7.0,8.0,0,2.0,0
P0003,10,Male,Darwin,0,0,93.5,9,9,5,9.0,9.0,6.0,3.0,4.0,,8.0,7.0,3,2.0,0
P0004,9,Male,Brunel,1,0,96.81298759395388,8,5,9,9.0,4.0,9.0,3.0,2.0,3.0,7.0,8.0,2,1.0,0
P0005,7,Female,Churchill,0,0,95.5,8,5,9,,4.0,9.0,3.0,,2.0,6.0,9.0,5,1.0,0
P0006,7,Female,Churchill,1,0,83.79087050062242,5,8,6,5.0,6.0,7.0,4.0,3.0,4.0,6.0,4.0,3,,0
P0007,7,Female,Churchill,0,0,100.0,4,8,5,4.0,9.0,5.0,,,4.0,6.0,9.0,5,1.0,0
P0008,11,Female,Darwin,0,0,97.2,5,4,6,5.0,3.0,7.0,5.0,4.0,2.0,5.0,5.0,6,6.0,0
P0009,10,Female,Darwin,1,0,87.96812702747725,6,5,7,7.0,5.0,7.0,3.0,3.0,1.0,7.0,10.0,3,4.0,0
P0010,10,Female,Darwin,0,0,90.1,7,5,4,9.0,5.0,5.0,3.0,3.0,4.0,6.0,6.0,5,2.0,0
P0011,7,Male,Atkinson,0,0,94.8,2,3,5,2.0,,6.0,4.0,4.0,2.0,4.0,4.0,2,1.0,0
P0012,11,Female,Brunel,1,0,,8,4,2,7.0,5.0,2.0,3.0,,,4.0,5.0,0,1.0,0
P0013,11,Female,Darwin,1,0,93.6579981364169,5,4,6,5.0,5.0,6.0,4.0,4.0,1.0,5.0,7.0,6,3.0,0
P0014,8,Male,Brunel,0,0,94.9,5,4,7,7.0,4.0,8.0,3.0,4.0,4.0,6.0,8.0,5,2.0,0
P0015,7,Male,Brunel,0,1,100.0,4,5,5,4.0,5.0,5.0,3.0,4.0,2.0,5.0,6.0,3,1.0,0
P0016,7,Male,Churchill,0,1,99.4,3,6,8,5.0,6.0,8.0,4.0,5.0,4.0,6.0,14.0,8,4.0,0
P0017,8,Male,Atkinson,0,0,94.1,7,8,3,9.0,8.0,3.0,2.0,3.0,3.0,7.0,8.0,3,2.0,0
P0018,9,Female,Darwin,0,0,98.6,6,4,3,6.0,6.0,4.0,3.0,3.0,2.0,6.0,7.0,1,1.0,0
P0019,9,Female,Churchill,0,0,86.8,3,7,6,4.0,8.0,8.0,3.0,3.0,3.0,6.0,8.0,0,3.0,0
P0020,8,Female,Churchill,1,0,91.48419985486048,3,5,7,5.0,6.0,6.0,3.0,,4.0,5.0,7.0,2,,0
P0021,10,Female,Darwin,1,0,99.15940951201138,5,5,8,5.0,6.0,8.0,3.0,2.0,3.0,7.0,10.0,2,,0
P0022,7,Female,Brunel,1,0,89.1386971806187,9,6,5,9.0,7.0,6.0,1.0,3.0,4.0,8.0,7.0,4,4.0,0
P0023,8,Female,Churchill,0,0,87.9,5,3,7,5.0,3.0,7.0,3.0,3.0,,4.0,8.0,5,1.0,0
P0024,8,Male,Brunel,0,0,89.1,3,6,5,2.0,5.0,6.0,3.0,3.0,1.0,5.0,9.0,1,4.0,0
P0025,9,Female,Atkinson,0,0,86.5,5,6,5,5.0,6.0,4.0,3.0,2.0,5.0,5.0,8.0,4,0.0,0
P0026,10,Male,Brunel,0,0,88.3,5,6,7,4.0,6.0,8.0,2.0,4.0,3.0,6.0,6.0,3,3.0,0
P0027,7,Male,Atkinson,0,0,90.8,1,6,7,1.0,6.0,7.0,4.0,3.0,2.0,5.0,9.0,2,3.0,0
P0028,9,Female,Brunel,1,0,82.16312596039377,5,9,3,5.0,9.0,4.0,2.0,3.0,2.0,6.0,7.0,3,2.0,0
P0029,9,Male,Churchill,0,0,93.1,5,4,8,5.0,5.0,9.0,,3.0,3.0,6.0,8.0,2,3.0,0
P0030,7,Female,Churchill,0,0,98.4,7,4,8,6.0,,9.0,4.0,3.0,4.0,6.0,11.0,3,1.0,0
P0031,10,Male,Atkinson,0,0,87.6,9,4,4,9.0,4.0,5.0,3.0,4.0,3.0,6.0,7.0,5,4.0,0
P0032,7,Female,Darwin,1,1,95.03210913590392,8,4,6,9.0,6.0,7.0,5.0,2.0,5.0,7.0,9.0,4,3.0,0
P0033,7,Male,Atkinson,0,0,96.1,5,4,6,4.0,4.0,6.0,2.0,2.0,2.0,5.0,8.0,5,0.0,0
P0034,11,Female,Atkinson,0,0,99.2,4,7,6,4.0,9.0,6.0,4.0,3.0,3.0,6.0,6.0,1,2.0,0
P0035,11,Female,Brunel,0,0,89.1,9,8,4,,9.0,5.0,,2.0,2.0,8.0,6.0,0,1.0,0
P0036,11,Female,Brunel,0,0,98.1,6,4,4,5.0,3.0,4.0,3.0,2.0,3.0,5.0,14.0,4,0.0,0
P0037,8,Female,Atkinson,0,0,86.4,6,4,5,8.0,5.0,5.0,5.0,3.0,4.0,6.0,12.0,6,3.0,0
P0038,7,Female,Churchill,1,0,97.42558031902568,5,6,8,6.0,6.0,9.0,3.0,4.0,3.0,7.0,5.0,4,1.0,0
P0039,10,Male,Brunel,0,0,94.0,6,4,6,6.0,5.0,5.0,3.0,3.0,1.0,6.0,12.0,3,1.0,0
P0040,9,Male,Darwin,0,0,96.3,5,6,5,5.0,7.0,6.0,3.0,3.0,3.0,6.0,,5,1.0,0
P0041,7,Male,Brunel,0,0,85.9,4,6,7,,6.0,,3.0,4.0,3.0,6.0,7.0,2,4.0,0
P0042,9,Female,Brunel,1,0,84.23677828236605,5,3,1,5.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,2,3.0,0
P0043,7,Male,Darwin,0,0,96.6,5,8,7,6.0,8.0,6.0,4.0,3.0,4.0,7.0,5.0,2,0.0,0
P0044,11,Female,Atkinson,0,0,87.3,5,8,2,4.0,7.0,2.0,1.0,3.0,2.0,4.0,5.0,4,1.0,0
P0045,8,Female,Darwin,1,0,94.9330196689694,4,4,5,4.0,4.0,6.0,5.0,3.0,4.0,5.0,4.0,3,4.0,0
P0046,10,Male,Atkinson,1,1,84.48546261990988,6,5,3,5.0,6.0,3.0,2.0,3.0,4.0,5.0,7.0,7,2.0,0
P0047,8,Male,Atkinson,1,0,97.16326604336604,5,6,3,5.0,8.0,,4.0,1.0,1.0,5.0,9.0,2,1.0,0
P0048,9,Female,Atkinson,1,0,85.43764614154125,8,6,7,7.0,6.0,7.0,4.0,3.0,3.0,7.0,7.0,2,2.0,0
P0049,9,Male,Darwin,0,0,96.3,1,6,5,1.0,5.0,6.0,2.0,5.0,2.0,4.0,6.0,3,1.0,0
P0050,7,Female,Atkinson,0,0,96.8,7,9,6,8.0,9.0,7.0,3.0,4.0,3.0,8.0,7.0,3,3.0,0
P0051,11,Female,Churchill,1,0,85.08323552214993,8,5,5,9.0,6.0,5.0,2.0,4.0,3.0,7.0,4.0,4,3.0,0
P0052,10,Female,Darwin,0,0,96.5,2,4,6,3.0,4.0,,3.0,4.0,3.0,6.0,9.0,1,6.0,0
P0053,11,Female,Churchill,0,0,94.6,5,3,6,4.0,3.0,6.0,3.0,3.0,2.0,4.0,10.0,0,,0
P0054,11,Female,Atkinson,1,0,86.18334848003018,5,4,3,5.0,4.0,3.0,4.0,3.0,3.0,3.0,,1,3.0,0
P0055,9,Male,Brunel,0,0,86.9,3,5,7,4.0,,9.0,5.0,2.0,2.0,6.0,,4,1.0,0
P0056,11,Male,Atkinson,0,0,81.2,4,8,5,4.0,9.0,5.0,5.0,3.0,2.0,6.0,8.0,3,,0
P0057,7,Female,Churchill,0,0,95.1,4,4,3,6.0,4.0,4.0,3.0,4.0,4.0,5.0,10.0,4,2.0,0
P0058,7,Female,Churchill,0,0,83.6,9,6,5,9.0,6.0,7.0,3.0,4.0,2.0,8.0,9.0,1,3.0,0
P0059,7,Male,Darwin,0,0,93.6,7,5,8,,4.0,9.0,2.0,3.0,4.0,6.0,8.0,5,1.0,0
P0060,8,Male,Brunel,0,0,91.4,8,7,7,8.0,7.0,7.0,2.0,3.0,3.0,8.0,3.0,3,,0
P0061,8,Female,Darwin,0,0,97.1,7,9,5,7.0,9.0,6.0,4.0,3.0,1.0,7.0,,4,2.0,0
P0062,8,Male,Churchill,0,1,91.2,3,4,5,3.0,4.0,5.0,5.0,4.0,2.0,5.0,7.0,6,2.0,0
P0063,11,Female,Atkinson,0,0,91.0,5,4,5,6.0,6.0,5.0,2.0,2.0,4.0,7.0,7.0,4,1.0,0
P0064,8,Male,Brunel,0,0,97.4,6,7,9,7.0,7.0,9.0,3.0,1.0,,7.0,8.0,1,4.0,0
P0065,8,Female,Atkinson,1,0,91.6717474968702,3,6,6,3.0,6.0,5.0,3.0,3.0,3.0,4.0,5.0,4,1.0,0
P0066,9,Male,Atkinson,0,0,94.9,7,8,6,6.0,9.0,7.0,3.0,2.0,3.0,,7.0,3,1.0,0
P0067,7,Female,Brunel,0,0,95.8,5,6,7,4.0,5.0,7.0,2.0,3.0,,5.0,7.0,2,2.0,0
P0068,11,Male,Darwin,1,0,81.33260000963561,5,5,6,6.0,4.0,6.0,4.0,3.0,3.0,,7.0,5,2.0,0
P0069,7,Male,Atkinson,0,0,97.5,7,6,5,6.0,5.0,6.0,3.0,3.0,2.0,6.0,7.0,4,5.0,0
P0070,11,Female,Churchill,1,0,92.08413005690367,6,7,5,4.0,8.0,5.0,3.0,5.0,4.0,,10.0,3,0.0,0
P0071,10,Male,Atkinson,0,0,86.9,5,7,5,6.0,7.0,6.0,4.0,3.0,5.0,6.0,7.0,4,0.0,0
P0072,7,Female,Brunel,1,1,87.85038240357089,8,6,5,9.0,8.0,5.0,,3.0,4.0,7.0,9.0,5,2.0,0
P0073,7,Male,Brunel,0,0,92.8,4,7,7,4.0,7.0,8.0,3.0,4.0,3.0,6.0,7.0,3,1.0,0
P0074,11,Female,Brunel,1,0,87.75626741593094,7,7,5,8.0,7.0,4.0,3.0,2.0,2.0,7.0,5.0,1,4.0,0
P0075,10,Male,Darwin,0,0,95.0,7,8,7,7.0,9.0,7.0,3.0,4.0,2.0,7.0,8.0,2,4.0,0
P0076,10,Female,Atkinson,1,1,97.7496791479212,5,6,5,5.0,8.0,7.0,3.0,3.0,4.0,7.0,12.0,1,2.0,0
P0077,10,Male,Darwin,0,0,99.5,6,5,6,7.0,7.0,5.0,3.0,4.0,3.0,6.0,4.0,4,1.0,0
P0078,7,Female,Darwin,0,0,85.1,3,6,2,3.0,7.0,2.0,,2.0,4.0,4.0,9.0,1,1.0,0
P0079,8,Male,Brunel,1,1,91.76715254610338,7,7,7,7.0,8.0,8.0,4.0,2.0,4.0,8.0,7.0,5,4.0,0
P0080,7,Female,Brunel,0,1,100.0,5,4,6,5.0,5.0,6.0,3.0,4.0,1.0,6.0,9.0,1,1.0,0
P0081,11,Female,Darwin,0,0,95.3,5,6,7,5.0,7.0,8.0,4.0,3.0,4.0,7.0,10.0,4,8.0,0
P0082,10,Female,Atkinson,0,0,99.5,7,5,1,8.0,5.0,2.0,3.0,2.0,2.0,5.0,6.0,1,0.0,0
P0083,8,Male,Churchill,0,0,100.0,4,5,9,4.0,4.0,,4.0,2.0,3.0,6.0,11.0,6,1.0,0
P0084,7,Female,Darwin,0,0,99.1,3,7,5,3.0,7.0,6.0,4.0,4.0,3.0,5.0,6.0,4,3.0,0
P0085,8,Male,Atkinson,0,1,94.5,3,6,7,4.0,6.0,8.0,3.0,2.0,5.0,5.0,,1,1.0,0
P0086,8,Female,Brunel,1,0,98.58909311806325,7,5,4,6.0,,4.0,4.0,5.0,5.0,5.0,9.0,3,3.0,0
P0087,10,Male,Brunel,0,0,93.9,3,3,7,3.0,4.0,8.0,2.0,2.0,,6.0,7.0,3,2.0,0
P0088,10,Female,Atkinson,0,0,93.1,9,7,4,9.0,8.0,6.0,2.0,4.0,3.0,8.0,7.0,4,2.0,0
P0089,11,Male,Churchill,1,0,,2,6,4,3.0,6.0,4.0,2.0,3.0,4.0,,8.0,2,1.0,0
P0090,9,Male,Brunel,1,0,96.87079402508812,9,9,9,9.0,9.0,9.0,3.0,4.0,4.0,8.0,12.0,4,2.0,0
P0091,7,Female,Brunel,0,0,,6,5,5,6.0,4.0,6.0,5.0,3.0,3.0,6.0,7.0,3,0.0,0
P0092,10,Male,Brunel,0,0,100.0,5,6,6,6.0,6.0,6.0,5.0,3.0,5.0,6.0,4.0,3,1.0,0
P0093,10,Male,Atkinson,0,0,96.0,5,6,7,6.0,5.0,6.0,4.0,3.0,3.0,6.0,7.0,2,0.0,0
P0094,9,Female,Darwin,0,0,84.6,6,8,6,7.0,6.0,7.0,4.0,,3.0,7.0,7.0,4,5.0,0
P0095,10,Male,Brunel,0,0,95.2,5,5,6,5.0,5.0,6.0,1.0,,,5.0,7.0,3,4.0,0
P0096,9,Male,Darwin,0,0,80.4,7,6,6,,6.0,6.0,3.0,3.0,3.0,6.0,5.0,1,3.0,0
P0097,9,Male,Churchill,0,0,96.8,6,6,9,5.0,7.0,9.0,2.0,3.0,,7.0,7.0,1,1.0,0
P0098,9,Female,Brunel,0,0,98.3,6,6,5,6.0,7.0,5.0,3.0,2.0,2.0,5.0,6.0,2,2.0,0
P0099,7,Male,Brunel,1,0,89.1274536129314,5,5,6,5.0,4.0,7.0,3.0,1.0,2.0,5.0,7.0,2,1.0,0
