student_id,year_group,gender,attendance_pct,effort_score,prior_attainment,pupil_premium,sen_support,rewards,sanctions,teacher_experience_yrs,class_size,percentage_score
S001,8,0,87.3,1,23.0,0,1,8,1,3.7,28,26.0
S002,11,1,85.4,5,90.1,0,0,1,3,11.1,24,76.9
S003,10,0,90.3,5,38.5,0,0,7,3,1.0,27,54.6
S004,9,0,83.8,5,35.0,0,0,2,1,6.2,22,58.0
S005,7,1,87.1,5,72.3,1,0,7,1,7.4,21,76.1
S006,7,1,82.6,2,92.2,0,0,10,4,17.4,28,70.5
S007,7,1,100.0,3,77.4,0,0,5,0,7.6,25,73.5
S008,11,0,91.2,4,65.9,0,1,3,2,1.0,27,54.0
S009,9,1,86.1,4,66.3,0,0,8,3,1.0,26,54.9
S010,10,0,92.5,2,69.9,1,0,9,1,9.2,24,60.8
S011,7,0,90.2,4,68.6,0,0,5,0,12.1,26,83.4
S012,11,0,89.5,3,61.9,0,0,7,3,10.9,23,55.2
S013,10,0,95.3,3,59.5,1,0,7,2,9.8,31,53.7
S014,7,1,96.3,4,57.1,0,0,2,1,14.8,22,63.4
S015,7,1,87.3,4,47.4,1,0,5,2,6.3,26,56.8
S016,7,0,87.0,4,54.1,0,0,2,1,13.5,23,65.7
S017,8,0,89.1,2,34.3,0,0,9,0,1.0,28,44.3
S018,9,0,74.9,5,56.6,0,1,10,2,4.5,26,55.4
S019,8,1,80.4,3,44.2,1,0,6,0,1.0,25,46.7
S020,8,0,100.0,2,42.5,1,1,6,3,7.6,29,30.5
S021,9,0,100.0,5,60.5,0,0,13,2,8.8,27,78.0
S022,7,1,89.3,5,77.5,0,1,10,4,9.6,28,77.1
S023,8,1,95.0,5,70.9,0,0,5,1,9.3,24,71.3
S024,8,0,93.2,4,36.0,0,1,8,0,4.4,22,45.2
S025,9,1,100.0,4,44.1,0,1,7,0,8.0,27,66.9
S026,10,1,98.8,4,71.2,1,0,7,4,1.5,26,57.9
S027,7,0,90.1,2,44.2,0,1,5,0,15.8,28,55.5
S028,9,1,84.3,3,54.9,0,0,4,5,7.5,26,47.7
S029,9,0,79.8,3,65.7,0,0,6,0,6.6,27,61.4
S030,7,1,92.4,3,44.4,0,0,4,3,16.9,22,57.2
S031,9,0,85.7,4,59.5,0,0,7,2,2.8,32,56.7
S032,7,0,81.0,3,39.3,0,0,4,1,3.4,26,47.3
S033,7,0,86.5,2,49.6,1,0,6,1,3.5,29,43.2
S034,11,1,83.4,3,62.5,0,0,5,1,8.7,24,52.8
S035,11,0,100.0,4,35.7,0,0,5,2,11.2,27,57.6
S036,10,1,97.2,2,64.2,0,1,3,3,12.7,23,49.7
S037,8,0,90.9,5,57.7,1,0,4,2,21.9,28,69.7
S038,7,0,100.0,3,65.7,1,0,10,3,1.0,25,52.6
S039,10,1,91.5,3,61.1,0,0,8,3,12.0,27,69.4
S040,9,0,85.0,4,77.1,0,0,2,1,6.2,29,73.2
S041,7,0,100.0,5,59.8,0,0,7,2,6.1,23,77.0
